,city,state,stores
0,abbeville,al,1
1,addison,al,1
2,adger,al,1
3,akron,al,1
4,alabaster,al,2
5,albertville,al,6
6,alexander-city,al,5
7,alexandria,al,1
8,aliceville,al,1
9,altoona,al,2
10,andalusia,al,5
11,anderson,al,1
12,anniston,al,7
13,arab,al,2
14,ardmore,al,1
15,ariton,al,1
16,arley,al,1
17,ashford,al,1
18,ashland,al,2
19,ashville,al,3
20,athens,al,18
21,atmore,al,3
22,attalla,al,5
23,auburn,al,6
24,autaugaville,al,1
25,baileyton,al,1
26,bay-minette,al,6
27,bayou-la-batre,al,1
28,bear-creek,al,1
29,beatrice,al,1
30,berry,al,2
31,bessemer,al,11
32,billingsley,al,1
33,birmingham,al,18
34,blountsville,al,2
35,boaz,al,3
36,brantley,al,1
37,bremen,al,1
38,brent,al,1
39,brewton,al,2
40,bridgeport,al,1
41,brilliant,al,1
42,brookwood,al,1
43,brundidge,al,2
44,bryant,al,1
45,butler,al,1
46,calera,al,2
47,camden,al,1
48,camp-hill,al,1
49,carbon-hill,al,2
50,carrollton,al,1
51,castleberry,al,1
52,cedar-bluff,al,2
53,centre,al,4
54,centreville,al,1
55,chancellor,al,1
56,chatom,al,1
57,chelsea,al,1
58,cherokee,al,1
59,cherokee-ridge,al,1
60,chickasaw,al,1
61,childersburg,al,1
62,chunchula,al,2
63,citronelle,al,2
64,clanton,al,5
65,clay,al,1
66,clayton,al,1
67,cleveland,al,1
68,clinton,al,1
69,clio,al,1
70,coaling,al,1
71,coden,al,2
72,coffeeville,al,1
73,coker,al,1
74,collinsville,al,1
75,columbia,al,1
76,columbiana,al,1
77,cordova,al,1
78,cottonwood,al,2
79,courtland,al,1
80,cowarts,al,1
81,crane-hill,al,1
82,creola,al,1
83,cropwell,al,2
84,crossville,al,2
85,cuba,al,1
86,cullman,al,16
87,cusseta,al,1
88,dadeville,al,3
89,daleville,al,2
90,danville,al,2
91,daphne,al,4
92,deatsville,al,3
93,decatur,al,7
94,demopolis,al,2
95,detroit,al,1
96,dixons-mills,al,1
97,dora,al,4
98,dothan,al,16
99,double-springs,al,1
100,duncanville,al,1
101,dutton,al,1
102,east-brewton,al,1
103,eastaboga,al,1
104,echola,al,1
105,eclectic,al,2
106,eight-mile,al,4
